lp;nazwa;netto_100;ean;bloz;cn;vat;kategoria;opak_zbiorcze
1;ACEROLA x 60 KAPS.;19.5;5907636994152;6150571;2106 90 92;0.08;Suplement;140
2;ALANTOIN MAŚĆ 50ML;11.6;5907636994893;7051439;3304 99 00;0.23;Kosmetyk;140
3;ALOE VERA ŻEL 150 ML;18.2;5907636994367;7042265;3304 99 00;0.23;Kosmetyk;60
4;ALOEVERA Z ZIELONĄ HERBATĄ X 60 KAPS.;19.5;5907636994756;8931301;2106 90 92;0.08;Suplement;140
5;APHTIHELP GEL 10G;12.5;5907636994718;7052008;3304 99 00;0.23;Kosmetyk;140
6;APLEPLUS C, E – OCET JABŁKOWY + WIT. C x30 kaps.;12.2;5907636994121;8297501;2106 90 92;0.08;Suplement;180
7;APLEPLUS FORTE Z ZIELONĄ HERBATĄ x 30 kaps.;15.8;5907636994220;8948701;2106 90 92;0.08;Suplement;180
8;ARCACET PIANKA 100 ML;15.3;5907636994831;7050162;3304 99 00;0.23;Kosmetyk;100
9;ARTREVIT X 60 KAPS.;31.6;5907636994800;3011451;2106 90 92;0.08;Suplement;120
10;ARTRO ŻEL 100 ML;16.8;5907636994350;7038463;3304 99 00;0.23;Kosmetyk;60
11;ARTROFIT X 60 KAPS.;51;8594011210104;8060202;2106 90 92;0.08;Suplement;120
12;ASHWAGANDHA x60 kaps.;23.5;5903317643043;8061735;2106 90 92;0.08;Suplement;140
13;ASHWAGANDHA + GOTU KOLA x60 KAPS..;23;5903317643050;3591821;2106 90 92;0.08;Suplement;140
14;AURIX KROPLE DO USZU 35ML;18.4;5907636994763;9059434;3006 70 00;0.08;Wyrób med.;200
15;BABKA PŁESZNIK MIELONA 150g;15.4;5903317643081;3677161;2106 90 92;0.08;Suplement;100
16;BABKA PŁESZNIK X 60 KAPS.;22.5;5907636994749;8903901;2106 90 92;0.08;Suplement;140
17;BALSAM DO UST Z WITAMINAMI A,E,F 20ML;10.2;5907636994664;7045393;3304 99 00;0.23;Kosmetyk;400
18;BALSAM Z KONOPII 200 ML;19.4;5907636994145;7056836;3304 99 00;0.23;Kosmetyk;60
19;BLIZNA MAŚĆ NA BLIZNY 20 ML;20.5;5903317643272;7093895;3304 99 00;0.23;Kosmetyk;60
20;CALCIUM NATURAL 60 KAPS;15.9;5903317643012;3484021;2106 90 92;0.08;Suplement;140
21;CARBOCAPS X 30 KAPS.;10.7;5907636994060;4391352;2106 90 92;0.08;Suplement;180
22;CARBOCAPS X20 kaps.;8.3;5907636994725;4391351;2106 90 92;0.08;Suplement;140
23;CARBOSAL + Z CZARNĄ JAGODĄ X 20 KAPS.;9.8;5907636994411;8242802;2106 90 92;0.08;Suplement;180
24;CARBOSAL + Z CZARNĄ JAGODĄ X 30 KAPS.;11.7;5907636994077;8242801;2106 90 92;0.08;Suplement;180
25;CARBOSAL SYROP (CARBO ACTIV) O SMAKU COLI 100 ML;15;5907636994107;9178139;2106 90 92;0.08;Suplement;70/140
26;CHROM FORTE X 30 KAPS.;15.9;5907636994572;8611211;2106 90 92;0.08;Suplement;120
27;CHROM Z ZIELONĄ HERBATĄ X 30 TAB.;16.9;5907636994046;6794141;2106 90 92;0.08;Suplement;200
28;CHROM Z ZIELONĄ HERBATĄ X 30 KAPS.;15.8;5907636994794;8471403;2106 90 92;0.08;Suplement;120
29;CHROM Z ZIELONĄ HERBATĄ X 60 KAPS.;24;5907636994824;8471404;2106 90 92;0.08;Suplement;140
30;CITROGREFT x60 kaps.;24.9;5907636994978;3278721;2106 90 92;0.08;Suplement;140
31;COLACAL X 60 KAPS.;49.5;8594011210012;8063401;2106 90 92;0.08;Suplement;50
32;COLAFIT KOLAGEN 99,9% X 60 KOSTEK;71;8594011210111;8063521;2106 90 92;0.08;Suplement;100
33;COLAFIT SLIM Z CHITOSANEM X 60 KAPS.;47;8594011210173;8063511;2106 90 92;0.08;Suplement;50
34;COLAHIAL KOLAGEN X 60 KAPS.;47.5;5907636994817;8996401;2106 90 92;0.08;Suplement;120
35;COLLAGEN VEGAN BEAUTY X 60 KAPS.;52;5903317643289;4071141;2106 90 92;0.08;Suplement;140
36;CYNK + WIT. B6 12 MG X 30 TAB.;15.1;5907636994053;8118501;2106 90 92;0.08;Suplement;200
37;CZYSTEK X60 KAPS.;19.6;5907636994992;3007976;2106 90 92;0.08;Suplement;140
38;DIABELSKI (CZARCI) PAZUR BALSAM 200 ML;19.7;5907636994862;7050163;3304 99 00;0.23;Kosmetyk;60
39;ENERGIA x30 kaps;13;5907636994589;8482111;2106 90 92;0.08;Suplement;140
40;EROTIC DLA KOBIET X 20 KAPS.;30;5907636994084;8117601;2106 90 92;0.08;Suplement;140
41;EROTIC DLA MĘŻCZYZN X 20 KAPS.;30;5907636994091;8117701;2106 90 92;0.08;Suplement;140
42;GERIAFIX X 60 KAPS.;40.2;5907636994848;8996601;2106 90 92;0.08;Suplement;120
43;GOTU KOLA;17.9;5907636994404;8351102;2106 90 92;0.08;Suplement;140
44;HEPASAL X 40 KAPS.;14.9;5907636994183;8176411;2106 90 92;0.08;Suplement;140
45;JARMUŻ x60 kaps.;22.1;5907636994954;3278661;2106 90 92;0.08;Suplement;140
46;KARCZOCH OSTROPEST X 60 KAPS.;22.5;5903317643333;4070741;2106 90 92;0.08;Suplement;140
47;KOENZYM Q10 30 MG Z MAGNEZEM X 30 KAPS.;21.4;5907636994114;8008821;2106 90 92;0.08;Suplement;120
48;KOŃSKI BALSAM 250 ML;16;5907636994251;7037733;3304 99 00;0.23;Kosmetyk;60
49;KUDZU ROOT X 60 KAPS.;26.1;5907636994299;4906222;2106 90 92;0.08;Suplement;140
50;KWAS HIALURONOWY x60 KAPS.;35;5907636994985;3174181;2106 90 92;0.08;Suplement;140
51;LIBIDO VEGAN X 60 KAPS.;39;5903317643319;4071041;2106 90 92;0.08;Suplement;140
52;LUTEINA VEGAN X 60 KAPS.;20.9;5903317643326;4071121;2106 90 92;0.08;Suplement;140
53;MAGNEZ B6 + ASHWAGANDHA x60 KAPS.;21.8;5903317643210;3739421;2106 90 92;0.08;Suplement;140
