wc_id;sku_obecny;ean_docelowy;blok;cennik_lp;nazwa_wc
175;GV-131;5903317643197;A;78;Maść żywokostowa z olejem CBD 140ml
18;GV-33;8594011210104;A;11;Artrofit 3w1 60 kapsułek
12;GV-22;5907636994152;A;1;Acerola 500mg 60 kapsułek
193;GV-74;5907636994909;A;96;Puder Rodzinny Pielęgnacyjny 50 ml
79;GV-104;5907636994138;A;100;Rokitnik i Acerola 60 kapsułek
67;GV-143;5903317643203;A;79;Olej CBD w Kapsułkach 60 kapsułek
216;GV-94;5907636994459;A;122;Żel z Żywkostem 200 ml
201;GV-78;5907636994336;A;105;Venal Żel 150 ml
222;GV-96;5907636994435;B;124;Żel Żywokostowy z Jałowcem i MSM 200 ml
63;GV-50;5907636994299;B;49;KUDZU 60 kapsułek
105;GV-37;5907636994145;B;18;Balsam z Konopii 5% CBD 200 ml
43;GV-43;5907636994817;B;34;Colahial 60 kapsułek
220;GV-93;5907636994473;B;121;Żel Żywokostowy z Boswellią 200 ml
155;GV-126;5903317643135;B;60;Maść Konopna 5% CBD 80 ml
207;GV-86;5907636994619;B;114;Żel kasztanowy z rutyną 200 ml
107;GV-145;5903317643272;B;19;BLIZNA Maść na blizny 20ml
143;GV-56;5907636994442;B;58;Maść dla Sportowców 150 ml
95;GV-24;5907636994367;B;3;AloeVera Żel 150 ml
77;GV-115;5907636994961;B;99;Resveratrol 60 kapsułek
35;GV-103;5907636994978;B;30;Citrogreft 60 kapsułek
53;GV-130;5907636994848;B;42;Geriafix x60 kapsułek
75;GV-128;5903317643067;B;87;OSTROPEST 60 kapsułek
83;GV-102;5907636994947;B;103;Spirulina 60 kapsułek
61;GV-105;5907636994954;B;45;Jarmuż 60 kapsułek
214;GV-90;5907636994480;B;119;Żel z Kasztanowcem, Miłorzębem i Babką Lancetowatą 200 ml
173;GV-64;5907636994657;B;73;Maść z Żyworódki 130 ml
185;GV-67;5907636994688;B;88;Panthenol Pianka 100 ml
141;GV-55;5907636994626;B;57;Maść Borowinowa 130 ml
234;GV-73;5907636994787;B;95;Pneumovit Zatoki 50 ml
139;GV-54;5907636994886;B;56;Maść Arnikowa 130 ml
93;GV-23;5907636994893;B;2;Alantoin Maść 50 ml
226;GV-27;5907636994718;B;5;APHTIHELP gel 10 g
99;GV-32;5907636994350;B;10;ArtroŻel 100 ml
209;GV-147;5903317643227;B;115;Żel łagodzący po ukąszeniach owadów 20ml
31;GV-140;5907636994794;C;28;Chrom z zieloną herbatą 30 kapsułek
1550;;5903317643296;C;55;Magnez B6 VEGAN 60 kapsułek
1549;;5903317643326;C;52;LUTEINA Vegan 60 kapsułek
1486;;5903317643319;C;51;LIBIDO Vegan 60 kapsułek
65;GV-112;5907636994039;C;54;Magnez B6 60 kapsułek
218;GV-95;5907636994640;C;123;Żel ze świetlikiem i kolagenem 20 ml
37;GV-40;8594011210012;C;31;Colacal - kolagen z wapniem 60 kapsułek
45;GV-44;5907636994053;C;36;Cynk + witamina B6 30 tabletek
157;GV-109;5907636994398;C;64;Maść Nagietkowa 130ml
230;GV-69;5907636994770;C;90;Pneumovit BABY 35 ml
69;GV-122;5903317643111;C;82;Olej z konopii CBD 10% 10ml
70;GV-123;5903317643128;C;83;Olej z konopii CBD 10% 20ml
71;GV-124;5903317643098;C;84;Olej z konopii CBD 5% 10ml
72;GV-125;5903317643104;C;85;Olej z konopii CBD 5% 20ml
165;GV-148;5903317643265;C;68;Maść Rumiankowa z olejem CBD 5% 80 ml
195;GV-108;5907636994305;C;97;RABKA SPA MINERALE spray 200 ml
23;GV-114;5903317643012;C;20;Calcium Natural 70 kapsułek
