ID,SKU,nazwa,typ,status,_regular_price,_sale_price,tax_class,tax_status,liczba_wariantow,EAN_z_SKU
12,GV-22,Acerola 500mg 60 kapsułek,simple,publish,21.0,,reduced-rate,taxable,0,
14,GV-133,"Apleplus C,E 30 kapsułek",simple,publish,13.0,,reduced-rate,taxable,0,
16,GV-31,ARTREVIT 60 kapsułek,simple,publish,34.0,,reduced-rate,taxable,0,
18,GV-33,Artrofit 3w1 60 kapsułek,simple,publish,55.0,,reduced-rate,taxable,0,
19,GV-35,Babka Płesznik 60 kapsułek,simple,publish,24.0,,reduced-rate,taxable,0,
21,GV-127,BABKA PŁESZNIK mielona 150g,simple,publish,17.0,,reduced-rate,taxable,0,
23,GV-114,Calcium Natural 70 kapsułek,simple,publish,17.0,,reduced-rate,taxable,0,
25,5907636994107,CARBOsal syrop 100ml,simple,publish,16.0,,reduced-rate,taxable,0,5907636994107
27,GV-134,CARBOSAL + z czarną jagodą 30 kapsułek,simple,publish,13.0,,reduced-rate,taxable,0,
29,5907636994572,Chrom Forte,simple,publish,17.0,,reduced-rate,taxable,0,5907636994572
31,GV-140,Chrom z zieloną herbatą 30 kapsułek,simple,publish,17.0,,reduced-rate,taxable,0,
35,GV-103,Citrogreft 60 kapsułek,simple,publish,27.0,,reduced-rate,taxable,0,
37,GV-40,Colacal - kolagen z wapniem 60 kapsułek,simple,publish,51.0,,reduced-rate,taxable,0,
39,8594011210111,Colafit 60 kostek,simple,publish,77.0,,reduced-rate,taxable,0,8594011210111
41,GV-42,Colafit SLIM z Chitosanem 60 kapsułek,simple,publish,51.0,,reduced-rate,taxable,0,
43,GV-43,Colahial 60 kapsułek,simple,publish,53.0,,reduced-rate,taxable,0,
45,GV-44,Cynk + witamina B6 30 tabletek,simple,publish,16.0,,reduced-rate,taxable,0,
47,5907636994589,Energia 30 kapsułek,simple,publish,14.0,,reduced-rate,taxable,0,5907636994589
49,GV-47,Erotic dla kobiet - afrodyzjak 20 kapsułek,simple,publish,32.0,,reduced-rate,taxable,0,
51,GV-46,Erotic dla mężczyzn - afrodyzjak 20 kapsułek,simple,publish,32.0,,reduced-rate,taxable,0,
53,GV-130,Geriafix x60 kapsułek,simple,publish,43.0,,reduced-rate,taxable,0,
55,5907636994404,GOTU KOLA x60 kapsułek,simple,publish,19.0,,reduced-rate,taxable,0,5907636994404
57,GV-136,Hepasal 40 kapsułek,simple,publish,16.0,,reduced-rate,taxable,0,
61,GV-105,Jarmuż 60 kapsułek,simple,publish,24.0,,reduced-rate,taxable,0,
63,GV-50,KUDZU 60 kapsułek,simple,publish,28.0,,reduced-rate,taxable,0,
65,GV-112,Magnez B6 60 kapsułek,simple,publish,12.0,,reduced-rate,taxable,0,
67,GV-143,Olej CBD w Kapsułkach 60 kapsułek,simple,publish,69.0,,reduced-rate,taxable,0,
69,GV-122,Olej z konopii CBD 10% 10ml,simple,publish,166.0,,reduced-rate,taxable,0,
70,GV-123,Olej z konopii CBD 10% 20ml,simple,publish,320.0,,reduced-rate,taxable,0,
71,GV-124,Olej z konopii CBD 5% 10ml,simple,publish,92.0,,reduced-rate,taxable,0,
72,GV-125,Olej z konopii CBD 5% 20ml,simple,publish,177.0,,reduced-rate,taxable,0,
73,GV-129,OSTROPEST mielony 150g,simple,publish,14.0,,reduced-rate,taxable,0,
75,GV-128,OSTROPEST 60 kapsułek,simple,publish,15.0,,reduced-rate,taxable,0,
77,GV-115,Resveratrol 60 kapsułek,simple,publish,44.0,,reduced-rate,taxable,0,
79,GV-104,Rokitnik i Acerola 60 kapsułek,simple,publish,26.0,,reduced-rate,taxable,0,
