# plan_cen (STAGING) — Etap 2, WYLACZNIE PLAN. Klucz: SKU (EAN-13). Kolejnosc: DO_IMPORTU, BLOKADA, BRAK_EAN, WYKLUCZONE, BEZ_ZMIAN
# 2026-07-22: semantyka BEZ_ZMIAN = pozycja wylaczona z importu DECYZJA klienta (nie "delta 0"). Delta 0 pozostaje DO_IMPORTU.
sku;wc_id;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;metoda;netto_cennik;vat_cennik;klasa_wc;vat_wc;brutto_docelowy;brutto_obecny;delta_brutto;sale_price;decyzja;powod
5907636994152;12;Acerola 500mg 60 kapsułek;1;ACEROLA x 60 KAPS.;5907636994152;EAN;19.50;8%;reduced-rate;8%;21.06;21.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany)
5907636994893;93;Alantoin Maść 50 ml;2;ALANTOIN MAŚĆ 50ML;5907636994893;EAN;11.60;23%;(standard);23%;14.27;14.00;+0.27;;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany)
5907636994367;95;AloeVera Żel 150 ml;3;ALOE VERA ŻEL 150 ML;5907636994367;EAN;18.20;23%;(standard);23%;22.39;22.00;+0.39;20.15;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany) | ⚠ aktywna cena promocyjna 20.15 — do osobnej decyzji
5907636994756;2038;AloeVera z Zieloną Herbatą x60 kaps.;4;ALOEVERA Z ZIELONĄ HERBATĄ X 60 KAPS.;5907636994756;EAN;19.50;8%;reduced-rate;8%;21.06;21.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994718;226;APHTIHELP gel 10 g;5;APHTIHELP GEL 10G;5907636994718;EAN;12.50;23%;(standard);23%;15.38;15.00;+0.38;;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany)
5907636994121;2040;Apleplus C,E – Ocet Jabłkowy x30 kaps.;6;APLEPLUS C, E – OCET JABŁKOWY + WIT. C x30 kaps.;5907636994121;EAN;12.20;8%;reduced-rate;8%;13.18;13.00;+0.18;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994220;2042;Apleplus Forte z Zieloną Herbatą x30 kaps.;7;APLEPLUS FORTE Z ZIELONĄ HERBATĄ x 30 kaps.;5907636994220;EAN;15.80;8%;reduced-rate;8%;17.06;17.00;+0.06;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994831;97;ARCACET pianka 100 ml;8;ARCACET PIANKA 100 ML;5907636994831;EAN;15.30;23%;(standard);23%;18.82;19.00;-0.18;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994800;16;ARTREVIT 60 kapsułek;9;ARTREVIT X 60 KAPS.;5907636994800;EAN;31.60;8%;reduced-rate;8%;34.13;34.00;+0.13;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994350;99;ArtroŻel 100 ml;10;ARTRO ŻEL 100 ML;5907636994350;EAN;16.80;23%;(standard);23%;20.66;21.00;-0.34;;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany)
8594011210104;18;Artrofit 3w1 60 kapsułek;11;ARTROFIT X 60 KAPS.;8594011210104;EAN;51.00;8%;reduced-rate;8%;55.08;55.00;+0.08;;DO_IMPORTU;import ceny regularnej brutto z cennika (odblokowane przez KROK 1 — EAN dopisany)
5903317643043;2044;Ashwagandha x60 kaps.;12;ASHWAGANDHA x60 kaps.;5903317643043;EAN;23.50;8%;reduced-rate;8%;25.38;25.00;+0.38;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643050;2046;Ashwagandha + Gotu Kola x60 kaps.;13;ASHWAGANDHA + GOTU KOLA x60 KAPS..;5903317643050;EAN;23.00;8%;reduced-rate;8%;24.84;25.00;-0.16;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994763;228;Aurix 35 ml;14;AURIX KROPLE DO USZU 35ML;5907636994763;EAN;18.40;8%;reduced-rate;8%;19.87;20.00;-0.13;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643081;21;BABKA PŁESZNIK mielona 150g;15;BABKA PŁESZNIK MIELONA 150g;5903317643081;EAN;15.40;8%;reduced-rate;8%;16.63;17.00;-0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994749;19;Babka Płesznik 60 kapsułek;16;BABKA PŁESZNIK X 60 KAPS.;5907636994749;EAN;22.50;8%;reduced-rate;8%;24.30;24.00;+0.30;;DO_IMPORTU;import ceny regularnej brutto z cennika
