# plan_cen (STAGING) — Etap 2, WYŁĄCZNIE PLAN. Klucz: SKU (EAN-13). Kolejność: DO_IMPORTU, BLOKADA, BRAK_EAN, WYKLUCZONE, BEZ_ZMIAN
sku;wc_id;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;metoda;netto_cennik;vat_cennik;klasa_wc;vat_wc;brutto_docelowy;brutto_obecny;delta_brutto;sale_price;decyzja;powod
GV-40;37;Colacal - kolagen z wapniem 60 kapsułek;31;COLACAL X 60 KAPS.;8594011210012;RĘCZNE;49.50;8%;reduced-rate;8%;53.46;51.00;+2.46;;DO_IMPORTU;RĘCZNE: potwierdzona transpozycja Colacal ↔ Colahial (dopasowanie po nazwie, nie po EAN)
GV-43;43;Colahial 60 kapsułek;34;COLAHIAL KOLAGEN X 60 KAPS.;5907636994817;RĘCZNE;47.50;8%;reduced-rate;8%;51.30;53.00;-1.70;;DO_IMPORTU;RĘCZNE: potwierdzona transpozycja Colacal ↔ Colahial (dopasowanie po nazwie, nie po EAN)
5907636994879;2069;Maść Witaminowa 50ml;70;MAŚĆ WITAMINOWA 50ML;5907636994879;EAN;11.80;23%;(standard);23%;14.51;15.00;-0.49;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994930;181;Olej Kokosowy w żelu 200 ml;80;OLEJ KOKOSOWY W ŻELU 200 ML;5907636994930;EAN;17.50;23%;(standard);23%;21.53;22.00;-0.47;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643210;2054;Magnez B6 + Ashwagandha x60 kaps.;53;MAGNEZ B6 + ASHWAGANDHA x60 KAPS.;5903317643210;EAN;21.80;8%;reduced-rate;8%;23.54;24.00;-0.46;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994503;111;Końska Maść 250 ml;62;MAŚĆ KOŃSKA ROZGRZEWAJACA 250ML;5907636994503;EAN;16.70;23%;(standard);23%;20.54;21.00;-0.46;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994664;101;Balsam do ust z witaminami A,E,F 20 ml;17;BALSAM DO UST Z WITAMINAMI A,E,F 20ML;5907636994664;EAN;10.20;23%;(standard);23%;12.55;13.00;-0.45;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994060;2048;Carbocaps x30 kaps.;21;CARBOCAPS X 30 KAPS.;5907636994060;EAN;10.70;8%;reduced-rate;8%;11.56;12.00;-0.44;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643067;75;OSTROPEST x60 kaps.;87;OSTROPEST x60 kaps.;5903317643067;EAN;14.30;8%;reduced-rate;8%;15.44;15.00;+0.44;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994015;81;Silicum + H ( KRZEM+ BIOTYNA ) 30 tabletek;102;SILICUM + H (KRZEM+BIOTYNA ) X 30 TAB.;5907636994015;EAN;18.00;8%;reduced-rate;8%;19.44;19.00;+0.44;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994428;85;Zielona Kawa 60 kapsułek;109;ZIELONA KAWA X 60 KAPS.;5907636994428;EAN;28.30;8%;reduced-rate;8%;30.56;31.00;-0.44;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994923;2071;Żyworódka w Płynie 115ml;125;ŻYWORÓDKA W PŁYNIE 115 ML;5907636994923;EAN;15.80;23%;(standard);23%;19.43;19.00;+0.43;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994411;2067;Carbosal + z Czarną Jagodą x20 kaps.;23;CARBOSAL + Z CZARNĄ JAGODĄ X 20 KAPS.;5907636994411;EAN;9.80;8%;reduced-rate;8%;10.58;11.00;-0.42;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994190;2065;Zdrowe Oczy x30 kaps.;108;ZDROWE OCZY OCHRONA I REGENERACJA x30 kaps.;5907636994190;EAN;15.20;8%;reduced-rate;8%;16.42;16.00;+0.42;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994169;91;Zielony Jęczmień w proszku 100 gram;110;ZIELONY JĘCZMIEŃ W PROSZKU 100 GRAM;5907636994169;EAN;27.40;8%;reduced-rate;8%;29.59;30.00;-0.41;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994084;49;Erotic dla kobiet - afrodyzjak 20 kapsułek;40;EROTIC DLA KOBIET X 20 KAPS.;5907636994084;EAN;30.00;8%;reduced-rate;8%;32.40;32.00;+0.40;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994091;51;Erotic dla mężczyzn - afrodyzjak 20 kapsułek;41;EROTIC DLA MĘŻCZYZN X 20 KAPS.;5907636994091;EAN;30.00;8%;reduced-rate;8%;32.40;32.00;+0.40;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994497;205;Żel Anticelluitis 200 ml;113;ŻEL ANTICELLUITIS 200 ML;5907636994497;EAN;17.40;23%;(standard);23%;21.40;21.00;+0.40;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994213;191;Pneumovit Żel 200 ml;117;ŻEL PNEUMOVIT 200 ML;5907636994213;EAN;20.00;8%;reduced-rate;8%;21.60;22.00;-0.40;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994534;187;Panthenol Żel 100 ml;89;PANTHENOL ŻEL Z ALOESEM I ALANTOINĄ 100 ML;5907636994534;EAN;13.50;23%;(standard);23%;16.61;17.00;-0.39;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643043;2044;Ashwagandha x60 kaps.;12;ASHWAGANDHA x60 kaps.;5903317643043;EAN;23.50;8%;reduced-rate;8%;25.38;25.00;+0.38;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994916;224;Żyworódka w Zasypce 50 ml;126;ŻYWORÓDKA W ZASYPCE 50 ML;5907636994916;EAN;12.70;23%;(standard);23%;15.62;16.00;-0.38;;DO_IMPORTU;import ceny regularnej brutto z cennika
5903317643081;21;BABKA PŁESZNIK mielona 150g;15;BABKA PŁESZNIK MIELONA 150g;5903317643081;EAN;15.40;8%;reduced-rate;8%;16.63;17.00;-0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994510;2070;Maść Żywokostowa 130ml;74;MAŚĆ ŻYWOKOSTOWA 130 ML;5907636994510;EAN;19.00;23%;(standard);23%;23.37;23.00;+0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994282;2061;Pneumovit Sept Aerozol 35ml;93;PNEUMOVIT SEPT AEROZOL DO GARDŁA 35 ML;5907636994282;EAN;15.40;8%;reduced-rate;8%;16.63;17.00;-0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994527;210;Żel z Arniką i Bursztynem 200 ml;118;ŻEL Z ARNIKĄ I BURSZTYNEM 200 ML;5907636994527;EAN;19.00;23%;(standard);23%;23.37;23.00;+0.37;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994077;27;CARBOSAL + z czarną jagodą 30 kapsułek;24;CARBOSAL + Z CZARNĄ JAGODĄ X 30 KAPS.;5907636994077;EAN;11.70;8%;reduced-rate;8%;12.64;13.00;-0.36;;DO_IMPORTU;import ceny regularnej brutto z cennika
5907636994602;113;Końska Maść Chłodząca 130 ml;61;MAŚĆ KOŃSKA CHŁODZĄCA 130 ML;5907636994602;EAN;11.90;23%;(standard);23%;14.64;15.00;-0.36;;DO_IMPORTU;import ceny regularnej brutto z cennika
