# plan_ean_STAGING — sekcja 1: DO_WERYFIKACJI (w tym wymuszone: sprzeczna gramatura/pojemność), potem AUTO, potem POMIŃ
sku;wc_id;wc_sku_obecny;wc_nazwa;cennik_lp;cennik_nazwa;cennik_ean;score;runner_up;metoda;decyzja;powod_pominiecia;powod
GV-74;193;GV-74;Puder Rodzinny Pielęgnacyjny 50 ml;96;PUDER RODZINNY PIELĘGNUJĄCY 50 ML;5907636994909;0.946;0.524;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-96;222;GV-96;Żel Żywokostowy z Jałowcem i MSM 200 ml;124;ŻEL ŻYWOKOSTOWY Z JAŁOWCEM I MSM 200ML;5907636994435;0.929;0.703;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-50;63;GV-50;KUDZU 60 kapsułek;49;KUDZU ROOT X 60 KAPS.;5907636994299;0.919;0.667;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-37;105;GV-37;Balsam z Konopii 5% CBD 200 ml;18;BALSAM Z KONOPII 200 ML;5907636994145;0.917;0.608;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-145;107;GV-145;BLIZNA Maść na blizny 20ml;19;BLIZNA MAŚĆ NA BLIZNY 20 ML;5903317643272;0.891;0.525;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-56;143;GV-56;Maść dla Sportowców 150 ml;58;MAŚĆ DLA SPORTOWCÓW 150ML;5907636994442;0.890;0.514;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-73;234;GV-73;Pneumovit Zatoki 50 ml;95;PNEUMOVIT ZATOKI 50ML;5907636994787;0.838;0.529;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-23;93;GV-23;Alantoin Maść 50 ml;2;ALANTOIN MAŚĆ 50ML;5907636994893;0.836;0.567;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-27;226;GV-27;APHTIHELP gel 10 g;5;APHTIHELP GEL 10G;5907636994718;0.836;0.125;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
GV-147;209;GV-147;Żel łagodzący po ukąszeniach owadów 20ml;115;ŻEL ŁAGODZĄCY PO UKĄSZENIACH 20 ML;5903317643227;0.810;0.579;NAZWA;DO_WERYFIKACJI;;score 0,70–0,94
