srodowisko;klucz;metoda_kluczowania;wc_id_prod;wc_id_srodowiska;sku_obecny;ean_docelowy;zrodlo_decyzji;blok;cennik_lp;nazwa_wc_prod;nazwa_w_srodowisku;status
STAGING;GV-131;SKU;175;175;GV-131;5903317643197;KANDYDAT_1;A;78;Maść żywokostowa z olejem CBD 140ml;Maść żywokostowa z olejem CBD 140ml;DO_ZAPISU
STAGING;GV-33;SKU;18;18;GV-33;8594011210104;KANDYDAT_1;A;11;Artrofit 3w1 60 kapsułek;Artrofit 3w1 60 kapsułek;DO_ZAPISU
STAGING;GV-22;SKU;12;12;GV-22;5907636994152;KANDYDAT_1;A;1;Acerola 500mg 60 kapsułek;Acerola 500mg 60 kapsułek;DO_ZAPISU
STAGING;GV-74;SKU;193;193;GV-74;5907636994909;KANDYDAT_1;A;96;Puder Rodzinny Pielęgnacyjny 50 ml;Puder Rodzinny Pielęgnacyjny 50 ml;DO_ZAPISU
STAGING;GV-104;SKU;79;79;GV-104;5907636994138;KANDYDAT_1;A;100;Rokitnik i Acerola 60 kapsułek;Rokitnik i Acerola 60 kapsułek;DO_ZAPISU
STAGING;GV-143;SKU;67;67;GV-143;5903317643203;KANDYDAT_1;A;79;Olej CBD w Kapsułkach 60 kapsułek;Olej CBD w Kapsułkach;DO_ZAPISU
STAGING;GV-94;SKU;216;216;GV-94;5907636994459;KANDYDAT_1;A;122;Żel z Żywkostem 200 ml;Żel z Żywkostem 200 ml;DO_ZAPISU
STAGING;GV-78;SKU;201;201;GV-78;5907636994336;KANDYDAT_1;A;105;Venal Żel 150 ml;Venal Żel 150 ml;DO_ZAPISU
STAGING;GV-96;SKU;222;222;GV-96;5907636994435;KANDYDAT_1;B;124;Żel Żywokostowy z Jałowcem i MSM 200 ml;Żel Żywokostowy z Jałowcem i MSM 200 ml;DO_ZAPISU
STAGING;GV-50;SKU;63;63;GV-50;5907636994299;KANDYDAT_1;B;49;KUDZU 60 kapsułek;KUDZU 60 kapsułek;DO_ZAPISU
STAGING;GV-37;SKU;105;105;GV-37;5907636994145;KANDYDAT_1;B;18;Balsam z Konopii 5% CBD 200 ml;Balsam z Konopii 5% CBD 200 ml;DO_ZAPISU
STAGING;GV-43;SKU;43;43;GV-43;5907636994817;KANDYDAT_1;B;34;Colahial 60 kapsułek;Colahial 60 kapsułek;DO_ZAPISU
